drugName,condition,average_category,num_reviews
Advair Diskus,2</span> users found this comment helpful.,3.0,1
Advair Diskus,6</span> users found this comment helpful.,1.0,1
Advair Diskus,8</span> users found this comment helpful.,5.0,1
Advair Diskus,"Asthma, Maintenance",2.6607142857142856,56
Advair Diskus,"COPD, Maintenance",3.789473684210526,19
Advair HFA,"Asthma, Maintenance",2.75,4
Advair HFA,"COPD, Maintenance",5.0,1
Advate,Hemophilia A,4.0,1
Advicor,High Cholesterol,4.0,1
Advil,4</span> users found this comment helpful.,1.0,1
Advil,Back Pain,3.5,2
Advil,Cystic Fibrosis,5.0,1
Advil,"Gout, Acute",3.0,1
Advil,Headache,4.4,5
Advil,Muscle Pain,1.8,5
Advil,Pain,2.3333333333333335,3
Advil,Rheumatoid Arthritis,1.0,1
Advil,Sciatica,5.0,1
Advil,Spondylolisthesis,2.0,1
Advil,eve,5.0,1
Advil Cold and Sinus,Sinus Symptoms,3.0952380952380953,21
Advil Cold and Sinus Liqui-Gels,Sinus Symptoms,5.0,2
Advil Liqui-Gels,Back Pain,3.0,1
Advil Liqui-Gels,"Gout, Acute",2.5,2
Advil Liqui-Gels,Headache,3.0,1
Advil Liqui-Gels,Pain,2.5,2
Advil Liqui-Gels,Period Pain,1.5,2
Advil Liqui-Gels,Rheumatoid Arthritis,3.0,1
Advil Liqui-Gels,eve,4.0,1
Advil Migraine,Headache,5.0,1
Advil PM,Insomnia,3.0,1
Adzenys XR-ODT,ADHD,4.0476190476190474,21
Aerobid,Asthma,4.0,1
Aerobid-M,1</span> users found this comment helpful.,2.0,1
Afatinib,Non-Small Cell Lung Cance,3.0,2
Afinitor,Brain Tum,3.0,2
Afinitor,Breast Cance,2.25,8
Afinitor,Pancreatic Cance,5.0,1
Afinitor,Renal Cell Carcinoma,2.0,1
Aflibercept,Diabetic Macular Edema,4.5,4
Aflibercept,Macular Degeneration,4.0,6
Aflibercept,Macular Edema,2.0,1
Afrezza,"Diabetes, Type 1",3.5806451612903225,31
Afrezza,"Diabetes, Type 2",3.5217391304347827,23
Afrin,Nasal Congestion,2.825,40
Afrin 4 Hour Extra Moisturizing,Nasal Congestion,3.0,2
Afrin NoDrip Sinus,Nasal Congestion,2.0,1
Afrin Original,Nasal Congestion,2.6666666666666665,3
Afrin Sinus,Nasal Congestion,4.0,1
Aftera,Emergency Contraception,2.77027027027027,74
Aggrenox,"Ischemic Stroke, Prophylaxis",2.142857142857143,14
AirDuo Respiclick,"Asthma, Maintenance",2.0,1
Ala-Quin,Dermatitis,1.0,1
Alahist LQ,Allergic Rhinitis,3.0,1
Alamast,"Conjunctivitis, Allergic",2.5,2
Alavert,Urticaria,3.0,1
Alavert D-12 Hour Allergy and Sinus,1</span> users found this comment helpful.,1.0,1
Alavert D-12 Hour Allergy and Sinus,Allergic Rhinitis,2.0,1
Albendazole,Ascariasis,4.0,1
Albendazole,Cutaneous Larva Migrans,4.5,2
Albendazole,Pinworm Infection (Enterobius vermicularis),2.0,2
Albenza,Pinworm Infection (Enterobius vermicularis),1.0,1
Albiglutide,"Diabetes, Type 2",2.8181818181818183,11
Albuterol,"Asthma, Maintenance",3.5,16
Albuterol,"Asthma, acute",3.090909090909091,55
Albuterol,Bronchiectasis,3.857142857142857,7
Albuterol,Bronchospasm Prophylaxis,1.8333333333333333,6
Albuterol,"COPD, Acute",3.111111111111111,9
Albuterol,"COPD, Maintenance",3.4615384615384617,13
Albuterol / ipratropium,"COPD, Maintenance",3.24,25
Alcaftadine,"Conjunctivitis, Allergic",3.6666666666666665,18
Alclometasone,Atopic Dermatitis,2.0,1
Alclometasone,Psoriasis,5.0,1
Alcortin A,Dermatitis,4.0,2
Aldactazide,Edema,5.0,1
Aldactazide,High Blood Pressure,2.0,1
Aldactone,12</span> users found this comment helpful.,4.0,1
Aldactone,Acne,4.8,5
Aldactone,Alopecia,5.0,1
Aldactone,Edema,3.0,2
Aldactone,Heart Failure,1.5,2
Aldactone,High Blood Pressure,2.6666666666666665,3
Aldactone,Primary Hyperaldosteronism,1.0,1
Aldara,Basal Cell Carcinoma,2.272727272727273,11
Aldara,Condylomata Acuminata,1.5,2
Aldara,Human Papilloma Virus,2.75,16
Aldara,Keratosis,2.6,5
Aldesleukin,Renal Cell Carcinoma,1.0,1
Aldomet,High Blood Pressure,5.0,1
Alefacept,Psoriasis,5.0,1
Alemtuzumab,Multiple Sclerosis,4.25,4
Alendronate,Osteoporosis,2.3684210526315788,19
Alendronate,Prevention of Osteoporosis,1.1,10
Alesse,1</span> users found this comment helpful.,1.0,1
Alesse,2</span> users found this comment helpful.,3.0,2
Alesse,3</span> users found this comment helpful.,3.0,2
Alesse,4</span> users found this comment helpful.,3.0,1
Alesse,Abnormal Uterine Bleeding,2.25,8
Alesse,Birth Control,2.6666666666666665,123
Alesse,Endometriosis,2.3333333333333335,3
Alesse,Polycystic Ovary Syndrome,3.5,2
Aleve,Ankylosing Spondylitis,4.0,1
Aleve,Back Pain,2.8846153846153846,26
Aleve,Costochondritis,5.0,1
Aleve,"Gout, Acute",3.0,8
Aleve,Headache,2.6,5
Aleve,Juvenile Rheumatoid Arthritis,2.3333333333333335,3
Aleve,Muscle Pain,1.0,1
Aleve,Osteoarthritis,2.0,4
Aleve,Pain,2.769230769230769,13
Aleve,Period Pain,2.6666666666666665,6
Aleve,Rheumatoid Arthritis,3.0,6
Aleve,Sciatica,2.375,8
Aleve,Tendonitis,2.5,2
Aleve,zen Shoulde,3.0,2
Aleve-D Sinus & Cold,Sinus Symptoms,3.0,1
Alfuzosin,Benign Prostatic Hyperplasia,2.8222222222222224,45
Alfuzosin,Not Listed / Othe,2.0,1
Alimta,Non-Small Cell Lung Cance,1.0,1
Alirocumab,Cardiovascular Risk Reduction,4.0,1
Alirocumab,High Cholesterol,3.0,16
Alirocumab,"High Cholesterol, Familial Heterozygous",3.0,7
Alirocumab,"High Cholesterol, Familial Homozygous",2.0,2
Aliskiren,High Blood Pressure,2.260869565217391,23
Aliskiren / hydrochlorothiazide,High Blood Pressure,4.0,4
Alka-Seltzer Cold and Sinus,Sinus Symptoms,4.0,1
Alka-Seltzer Plus Cold,Cold Symptoms,3.3333333333333335,3
Alka-Seltzer Plus Cold,Sinus Symptoms,3.0,1
Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,Sinus Symptoms,4.0,1
All Day Allergy,Allergic Rhinitis,3.0,1
Allantoin / camphor / phenol,Herpes Simplex,3.0,2
Allegra,1</span> users found this comment helpful.,2.0,1
Allegra,9</span> users found this comment helpful.,3.0,1
Allegra,Allergic Rhinitis,3.275,40
Allegra,Urticaria,3.888888888888889,18
Allegra Allergy,Allergic Rhinitis,2.6666666666666665,6
Allegra ODT,Allergic Rhinitis,4.0,1
Allegra-D 12 Hour,Allergic Rhinitis,3.5714285714285716,7
Allegra-D 24 Hour,10</span> users found this comment helpful.,3.0,1
Allegra-D 24 Hour,2</span> users found this comment helpful.,4.0,1
Allegra-D 24 Hour,Allergic Rhinitis,2.5,12
Aller-Ease,Urticaria,2.0,1
Allergy DN PE,Rhinitis,2.0,1
Allerx Dose Pack DF,Rhinitis,3.4,5
Alli,142</span> users found this comment helpful.,3.0,1
Alli,51</span> users found this comment helpful.,3.0,1
Alli,74</span> users found this comment helpful.,5.0,1
Alli,99</span> users found this comment helpful.,5.0,1
Alli,Obesity,2.9545454545454546,66
Allopurinol,Gout,2.3181818181818183,44
Allopurinol,Hyperuricemia Secondary to Chemotherapy,2.0,1
Allopurinol,Urinary Tract Stones,3.3333333333333335,3
Almotriptan,Migraine,3.357142857142857,28
Alocril,"Conjunctivitis, Allergic",4.0,1
Aloe vera,"Burns, External",4.0,1
Aloe vera / hydrocortisone / iodoquinol,Dermatitis,4.0,2
Alogliptin,"Diabetes, Type 2",2.0,2
Alogliptin / metformin,min),5.0,1
Aloprim,Gout,4.0,2
Alosetron,Diarrhea,5.0,2
Alosetron,Irritable Bowel Syndrome,2.8421052631578947,19
Aloxi,"Nausea/Vomiting, Postoperative",5.0,1
Alpha 1-proteinase inhibitor,Alpha-1 Proteinase Inhibitor Deficiency,3.3333333333333335,3
Alphagan P,"Glaucoma, Open Angle",1.6666666666666667,3
Alphanine SD,Hemophilia B,5.0,1
Alprazolam,Anxiety,2.767857142857143,560
Alprazolam,Borderline Personality Disorde,2.0,1
Alprazolam,Depression,2.6219512195121952,82
Alprazolam,Dysautonomia,3.8,5
Alprazolam,Not Listed / Othe,2.4705882352941178,17
Alprazolam,Panic Disorde,2.3640350877192984,228
Alprazolam,Tinnitus,3.1666666666666665,30
Alprazolam Intensol,Anxiety,2.6666666666666665,3
Alprazolam Intensol,Panic Disorde,1.6666666666666667,3
Alprostadil,Erectile Dysfunction,3.3461538461538463,78
Alrex,Conjunctivitis,4.5,2
Alrex,Postoperative Ocular Inflammation,2.0,1
Alsuma,Migraine,2.0,1
Altabax,Acne,2.3333333333333335,3
Altabax,Impetig,4.0,6
Altace,Diabetic Kidney Disease,5.0,1
Altace,Heart Attack,1.0,1
Altace,Heart Failure,2.0,1
Altace,High Blood Pressure,3.3333333333333335,6
Altavera,Birth Control,3.75,8
Altoprev,High Cholesterol,3.0,1
Altoprev,"High Cholesterol, Familial Heterozygous",3.0,1
Altretamine,Ovarian Cance,4.0,1
Aluminum chloride hexahydrate,Hyperhidrosis,3.5288683602771362,433
Aluminum hydroxide / magnesium hydroxide / simethicone,GERD,2.5,2
Aluminum hydroxide / magnesium hydroxide / simethicone,Gas,3.5,2
Aluminum hydroxide / magnesium trisilicate,GERD,3.6666666666666665,3
Aluminum hydroxide / magnesium trisilicate,Indigestion,2.5,2
Alupent,"Asthma, Maintenance",1.0,1
Alupent,"COPD, Acute",5.0,1
Alvesco,Asthma,4.0,5
Alvesco,"Asthma, Maintenance",3.75,8
Alyacen 1 / 35,Abnormal Uterine Bleeding,1.0,1
Alyacen 1 / 35,Birth Control,3.1666666666666665,6
AmLactin,Dry Skin,4.5,2
AmLactin,Ichthyosis,3.0,1
Amantadine,ADHD,4.333333333333333,3
Amantadine,Chronic Fatigue Syndrome,4.0,3
Amantadine,Extrapyramidal Reaction,2.0,2
Amantadine,Head Injury,2.3333333333333335,3
Amantadine,Multiple Sclerosis,1.3333333333333333,3
Amantadine,Parkinson's Disease,3.375,8
Amantadine,atigue,3.5,2
Amaryl,"Diabetes, Type 2",2.933333333333333,15
Ambien,10</span> users found this comment helpful.,5.0,1
Ambien,3</span> users found this comment helpful.,3.0,1
Ambien,Insomnia,3.1601049868766404,381
Ambien CR,12</span> users found this comment helpful.,3.0,1
Ambien CR,14</span> users found this comment helpful.,1.0,1
Ambien CR,Insomnia,3.4745762711864407,59
Ambrisentan,Pulmonary Hypertension,3.8,10
Amcinonide,Dermatitis,1.0,1
Amerge,Migraine,4.0,20
Amethia,Birth Control,2.6363636363636362,11
Amethia Lo,Abnormal Uterine Bleeding,2.0,1
Amethia Lo,Birth Control,4.0,3
Amethyst,Birth Control,4.5,2
Amevive,Psoriasis,5.0,1
Amikacin,Cystic Fibrosis,1.0,1
Amikacin,Not Listed / Othe,4.0,1
Amikacin,Urinary Tract Infection,2.0,1
Amikin,Cystic Fibrosis,1.0,1
Amiloride,Edema,3.0,1
Amiloride,High Blood Pressure,1.0,1
Amino acids,Dietary Supplementation,4.0,1
Amiodarone,Arrhythmia,1.8636363636363635,22
Amiodarone,Ventricular Fibrillation,2.142857142857143,7
Amiodarone,Ventricular Tachycardia,2.7142857142857144,7
Amitiza,10</span> users found this comment helpful.,2.0,1
Amitiza,12</span> users found this comment helpful.,1.0,1
Amitiza,23</span> users found this comment helpful.,5.0,1
Amitiza,9</span> users found this comment helpful.,4.0,1
Amitiza,Constipation,1.6,5
Amitiza,"Constipation, Chronic",3.0576923076923075,104
Amitiza,"Constipation, Drug Induced",2.5714285714285716,14
Amitiza,Irritable Bowel Syndrome,2.6739130434782608,46
Amitiza,Opioid-Induced Constipation,2.8,5
Amitriptyline,Anxiety and Stress,2.686046511627907,86
Amitriptyline,Burning Mouth Syndrome,2.75,4
Amitriptyline,Chronic Myofascial Pain,2.3333333333333335,3
Amitriptyline,Cough,5.0,1
Amitriptyline,Cyclic Vomiting Syndrome,3.1,20
Amitriptyline,Depression,3.0784313725490198,51
Amitriptyline,Dysautonomia,3.0,1
Amitriptyline,Hyperhidrosis,2.5,2
Amitriptyline,Insomnia,3.3175675675675675,148
Amitriptyline,Interstitial Cystitis,2.625,40
Amitriptyline,Irritable Bowel Syndrome,2.473684210526316,57
Amitriptyline,Migraine Prevention,2.9549180327868854,244
Amitriptyline,Neurotic Depression,3.0,1
Amitriptyline,Not Listed / Othe,3.6666666666666665,3
Amitriptyline,Pain,2.292207792207792,154
Amitriptyline,Persistent Depressive Disorde,4.0,1
Amitriptyline,Post Traumatic Stress Disorde,1.625,8
Amitriptyline,Pudendal Neuralgia,2.0,4
Amitriptyline,Reflex Sympathetic Dystrophy Syndrome,1.0,4
Amitriptyline,Somat,5.0,1
Amitriptyline,Urinary Incontinence,3.0,1
Amitriptyline,Vulvodynia,3.125,8
Amitriptyline,ibromyalgia,2.987012987012987,77
Amitriptyline,m Pain Disorde,1.0,1
Amitriptyline / chlordiazepoxide,Anxiety,2.0,3
Amitriptyline / chlordiazepoxide,Depression,2.0,4
Amitriptyline / chlordiazepoxide,Not Listed / Othe,1.0,1
Amitriptyline / perphenazine,Anxiety,2.6666666666666665,3
Amitriptyline / perphenazine,Depression,3.0,1
Amlodipine,Coronary Artery Disease,1.0,1
Amlodipine,Heart Failure,3.5,2
Amlodipine,High Blood Pressure,2.1296296296296298,216
Amlodipine,Migraine Prevention,2.8461538461538463,26
Amlodipine,Not Listed / Othe,2.0,1
Amlodipine,Raynaud's Syndrome,4.5,4
Amlodipine / atorvastatin,High Blood Pressure,3.0,3
Amlodipine / benazepril,High Blood Pressure,2.2758620689655173,29
Amlodipine / benazepril,Not Listed / Othe,3.0,2
Amlodipine / hydrochlorothiazide / olmesartan,High Blood Pressure,2.066666666666667,15
Amlodipine / hydrochlorothiazide / valsartan,ge HCT (amlodipine / hydrochlorothiazide / valsartan),4.0,4
Amlodipine / olmesartan,High Blood Pressure,3.2264150943396226,53
Amlodipine / telmisartan,High Blood Pressure,3.6666666666666665,6
Amlodipine / valsartan,High Blood Pressure,1.0,1
Amlodipine / valsartan,ge (amlodipine / valsartan),2.282051282051282,39
Ammonium lactate,Dry Skin,4.285714285714286,7
Ammonium lactate,Ichthyosis,2.5,2
Ammonium lactate / halobetasol,Psoriasis,4.0,1
Amnesteem,10</span> users found this comment helpful.,4.0,1
Amnesteem,Acne,3.08,25
Amoxapine,Depression,4.75,4
Amoxicillin,Bacterial Endocarditis Prevention,3.0,1
Amoxicillin,Bacterial Infection,2.6153846153846154,39
Amoxicillin,Bladder Infection,3.6666666666666665,3
Amoxicillin,Bronchitis,2.5,12
Amoxicillin,Dental Abscess,1.65,20
Amoxicillin,Helicobacter Pylori Infection,4.0,2
Amoxicillin,Not Listed / Othe,3.6666666666666665,3
Amoxicillin,Otitis Media,3.2857142857142856,7
Amoxicillin,Pneumonia,3.75,4
Amoxicillin,Sinusitis,2.6363636363636362,11
Amoxicillin,Skin or Soft Tissue Infection,2.6666666666666665,3
Amoxicillin,Tonsillitis/Pharyngitis,2.9285714285714284,14
Amoxicillin,Upper Respiratory Tract Infection,2.5714285714285716,7
Amoxicillin,Urinary Tract Infection,2.9523809523809526,21
Amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection,2.557377049180328,61
